投资时间,受资方,所属行业,VC阶段,投资金额,币种,投资方,
2017-11-19,瑞鹏宠物医院,医疗服务,A轮,2.5亿,人民币,融汇资本,
2017-11-17,医链科技,IT服务,Pre-A轮,1500万,人民币,天亿投资,
2017-11-17,合兴包装,包装,上市定增轮,5.5亿,人民币,中信证券,
2017-11-17,库贝尔,专用仪器仪表制造业,C轮,非公开,,库贝尔众成,
2017-11-17,民祥医药,医药,新三板定增轮,6300万,人民币,中钰创投 / 新鼎荣盛 / 兴富投资 / 景林资产,
2017-11-17,编程猫,教育与培训,B轮,1.2亿,人民币,清流资本 / 高瓴资本,
2017-11-17,享换机,其他,A轮,1.1亿,人民币,华盖创投 / 清星资本,
2017-11-17,捌捌玖玖智能科技,IT服务,天使轮,1百万,人民币,光谷人才投资,
2017-11-16,弘驰智能,其他电子产品,天使轮,3千万,人民币,不公开的投资者 / 启赋资本 / 光速中国创业投资基金,
2017-11-16,吾立方,动漫,A轮,数千万,人民币,上海盛万 / 天神互动,
2017-11-16,同予科技,其他无线互联网服务,天使轮,非公开,,险峰长青,
2017-11-15,食得鲜,配送及仓储,B轮,数千万,人民币,天图资本,
2017-11-15,知因盒子,医疗服务,A轮,数千万,人民币,不公开的投资者,
2017-11-15,云选商城,网络社区,Pre-A轮,数千万,人民币,不公开的投资者,
2017-11-15,鸡王食品,餐饮,天使轮,数百万,人民币,不公开的投资者 / IDG资本,
2017-11-15,脉脉,手机SNS,C轮,7500万,美元,DCM资本 / 晨兴资本 / 智联招聘 / IDG资本,
2017-11-15,新核云,咨询,A轮,3百万,美元,北极光,
2017-11-15,星洞瑧品,电子商务,天使轮,1500万,人民币,不公开的投资者 / 青山资本,
2017-11-15,小骑手,其他无线互联网服务,Pre-A轮,数千万,人民币,不公开的投资者 / 东方富海 / 红秀资本,
2017-11-15,夜听,无线广播电视传输服务,A轮,非公开,,真格基金 / 不惑创投,
2017-11-15,太和巽捷,其他无线互联网服务,A轮,非公开,,大搜车,
2017-11-15,创通电子,电信设备及终端,A轮,非公开,,高通风险投资,
2017-11-14,厦门慈铭,其他生物技术/医疗健康,,非公开,,信文资本,
2017-11-14,深圳美兆,其他生物技术/医疗健康,,9200万,人民币,天亿资管,
2017-11-14,成都美兆,其他生物技术/医疗健康,,非公开,,天亿资管,
2017-11-14,绍兴沃康,医疗服务,,3千万,人民币,天亿资管,
2017-11-14,乐播投屏,IT,A轮,6500万,人民币,暴龙资本 / 博将资本 / 前海方舟资产 / 易合君诚,
2017-11-14,无限向溯,IT服务,A轮,数千万,人民币,星河互联,
2017-11-14,生纳科技,其他生物技术/医疗健康,A轮,2千万,人民币,嘉道谷投资,
2017-11-14,医鸣,医疗服务,B轮,数亿,人民币,国中创投,
2017-11-14,蚊子动漫,动漫,A轮,数百万,人民币,不公开的投资者 / 连力创投,
2017-11-13,致影,托管服务,天使轮,非公开,,信天创投 / 诺瓦资本,
2017-11-13,赛纳生物,生物技术/医疗健康,B轮,1.3亿,人民币,京工弘元 / 通用创投 / 杭州比邻星创新投资 / 龙磐投资,
2017-11-13,淘梦网,众筹融资,B轮,9千万,人民币,不公开的投资者 / 德同资本 / 华映资本 / 赛富动势投资,
2017-11-13,概率论,无线互联网服务,Pre-A轮,数百万,美元,Ventech China,
2017-11-13,九爱科技,网络社区,A轮,2.1亿,人民币,不公开的投资者 / 微医集团,
2017-11-13,深睿医疗,医疗服务,A轮,1.2亿,人民币,弘道资本 / 昆仲资本 / 浙江瀛风投资管理有限公司 / 丹华资本 / 道彤投资,
2017-11-13,志凌伟业,其他机械制造,新三板定增轮,1500万,人民币,远致投资,
2017-11-13,康美特,新材料,新三板定增轮,6668万,人民币,光荣资产 / 北京国同清源创业投资管理合伙企业（有限合伙） / 启赋资本 / 征和惠通,
2017-11-10,翼菲自动化,电器机械及器材制造,B轮,非公开,,豪迈资本 / 可可资本 / 蓝图创投 / 信中利资本 / 常春藤资本,
2017-11-10,恒达时讯,软件,新三板定增轮,4800万,人民币,六禾投资 / 毅达资本 / 深圳合众盈信资产管理有限公司 / 向日葵投资,
2017-11-10,隆华新材,新材料,新三板定增轮,4820万,人民币,嘉兴益同投资管理有限公司 / 中投昆泰,
2017-11-10,掌霆互动,网络游戏,新三板定增轮,667万,人民币,浙江浙旅,
2017-11-10,知豆智信,汽车制造,A轮,非公开,,多氟多,
2017-11-10,云砺,托管服务,C轮,非公开,,高瓴资本,
2017-11-09,爱旅,其他IT服务,种子轮,数千万,人民币,宝信国际,
2017-11-09,微瑞思创,IT服务,新三板定增轮,4800万,人民币,国泰创投,
2017-11-09,金慧融智,软件外包,新三板定增轮,5200万,人民币,京江资本,
2017-11-09,万容科技,环保,新三板定增轮,8010万,人民币,东莞市国弘投资有限公司,
2017-11-09,布拉旅行,网络旅游,A轮,数千万,人民币,苏州建银精瑞资本,
2017-11-09,德知航创,其他机械制造,A轮,5千万,人民币,不公开的投资者 / 复星锐正资本,
2017-11-09,天富能源,电力、燃气及水的生产和供应业,上市定增轮,16.9亿,人民币,财爵投资,
2017-11-08,德化恒忆,非金属矿物制品业,,非公开,,众禾投资,
2017-11-08,火火兔,数字化电子产品,A轮,数亿,人民币,复星锐正资本,
2017-11-08,无学网络,网络服务,天使轮,数百万,人民币,不公开的投资者,
2017-11-08,须眉科技,电子设备,天使轮,数千万,人民币,不公开的投资者 / 小米 / 顺为资本,
2017-11-08,蔚来汽车,汽车制造,D轮,10亿,美元,孤松资本 / 腾讯投资 / 华夏资本 / Baillie Gifford & Co / 中信资本,
2017-11-08,亿腾医药,医药,B轮,3200万,美元,汉鼎亚太 / 红杉中国 / 泰康投资,
2017-11-08,蓝白红影业,影视制作及发行,天使轮,1亿,人民币,华映资本,
2017-11-08,明医众禾,其他生物技术/医疗健康,A轮,6千万,人民币,通和资本 / 远毅资本,
2017-11-07,康录生物,生物工程,A轮,3千万,人民币,元生创投,
2017-11-07,龙猫数据,IT服务,A轮,3370万,人民币,不惑创投 / 金沙江创投 / 九合创投,
2017-11-07,蓝店,零售,A轮,2千万,人民币,海纳亚洲,
2017-11-07,基准医疗,生物工程,B轮,2800万,美元,上海建信资本 / 通和资本 / Arch Venture Partners / 远毅资本 / 金域医学,
2017-11-07,闪萌,其他无线互联网服务,B轮,数千万,美元,DCM资本 / 不公开的投资者 / 君联资本 / 九合创投 / 火山石资本,
2017-11-07,虹金所,金融,A轮,3千万,人民币,绿邦资产,
2017-11-07,耀胜体育,体育,新三板定增轮,3千万,人民币,华谊体育,
2017-11-06,宏鼎股份,汽车制造,新三板定增轮,1074万,人民币,上海亚豪股权投资基金管理有限公司,
2017-11-06,企名片,IT服务,A轮,数千万,人民币,不公开的投资者 / 晨兴资本 / 初心资本 / 陶石资本,
2017-11-06,标贝科技,IT服务,天使轮,数千万,人民币,不公开的投资者,
2017-11-06,格隆汇,金融,A轮,2亿,人民币,不公开的投资者,
2017-11-06,拓拉思,电子商务,Pre-A轮,1240万,美元,不公开的投资者 / 香港磐通资本,
2017-11-06,352空气净化,电子设备,A轮,2亿,人民币,经纬中国 / 阿特列斯资本 / 华泰瑞联 / BAI,
2017-11-04,悦动美悦,其他无线互联网服务,Pre-A轮,1200万,人民币,真格基金,
2017-11-03,科宝智慧,医疗服务,A轮,数千万,人民币,毅达资本 / 奋毅资本,
2017-11-03,誉存科技,网络服务,A轮,数千万,人民币,星河互联 / 青岛华耀资本,
2017-11-03,宝源生物,农药及肥料,新三板定增轮,1.2亿,人民币,南山大成,
2017-11-03,德豪润达,其他电子产品,上市定增轮,20亿,人民币,建信基金 / 国寿安保,
2017-11-02,鹿得医疗,医疗设备,新三板定增轮,4930万,人民币,朗程资本 / 长江国弘 / 交享越,
2017-11-02,浩丰股份,其他机械制造,新三板定增轮,4920万,人民币,深圳前海众微资本管理有限公司,
2017-11-02,千叶药包,包装,新三板定增轮,6025万,人民币,和亚化医 / 厦门丰圆投资 / 贵州科风投 / 鼎力盛合 / 鼎信博成,
2017-11-02,车车车险,网络服务,B轮,2亿,人民币,不公开的投资者 / 宽带资本 / 中泽嘉盟 / 顺为资本,
2017-11-02,日兴生物,化工原料生产,新三板定增轮,1.4亿,人民币,道一泉（青岛）资产管理有限公司 / 江苏邮城金创投资管理有限公司 / 创丰资本 / 凯腾创投,
2017-11-02,安诺优达,生物工程,C轮,数亿,人民币,不公开的投资者 / 平安鼎创 / 高特佳投资 / 软银中国资本 / 富赛基金,
2017-11-02,爱华盈通,其他无线互联网服务,A轮,数千万,人民币,不公开的投资者,
2017-11-02,追一科技,其他硬件,B轮,2060万,美元,晨兴资本 / 创新工场 / 纪源资本 / 高榕资本,
2017-11-02,好动网球,其他娱乐与休闲,A轮,数千万,人民币,晨山资本 / 清科创投,
2017-11-02,凡米科技,硬件,Pre-A轮,数千万,人民币,天使百人会,
2017-11-01,纷趣科技,其他无线互联网服务,天使轮,数百万,人民币,创大资本,
2017-11-01,响山科技,娱乐传媒,天使轮,非公开,,不公开的投资者 / 奥英网络,
2017-11-01,驭光,托管服务,A轮,数千万,美元,百度风投 / 真格基金 / 顺为资本,
2017-11-01,乐奥医疗,医疗设备,C轮,6650万,人民币,峰瑞卓越 / 巨擎资本 / 中信证券,
2017-11-01,品源文华,电影制作与发行,A轮,5千万,人民币,海纳亚洲,
2017-11-01,康沁药业,化学药品制剂制造业,新三板定增轮,3900万,人民币,国经投资,
2017-11-01,牧宝车居,其他制造业,新三板定增轮,3千万,人民币,久有股权投资基金,
2017-11-01,达峰智能,其他机械制造,新三板定增轮,1499万,人民币,鑫鼎国瑞 / 国泰君安投资,
2017-11-01,和信瑞通,电器机械及器材制造,新三板定增轮,6300万,人民币,楚商领先 / 天津普思资产管理有限公司,
2017-11-01,中际联合,其他电器机械及器材制造,新三板定增轮,2亿,人民币,中日节能环保创投 / 华美集团 / 杭州浪淘沙,
2017-11-01,极跑吧,娱乐与休闲,天使轮,8百万,人民币,华映资本 / 西藏华颖投资管理有限公司,
