投资时间,受资方,所属行业,VC阶段,投资金额,币种,投资方,
2017-08-17,居理新房,房地产中介服务,B轮,数千万,美元,祥峰投资 / 源码资本,
2017-08-17,心跳时空,其他网络服务,A轮,数百万,美元,Ventech China,
2017-08-17,美因生物,生物工程,Pre-A轮,数千万,人民币,联想之星 / 银河资本,
2017-08-16,百金贷,互联网金融,A轮,1千万,美元,星达集团,
2017-08-16,便利家,其他服务业,天使轮,数百万,人民币,上海永宣,
2017-08-16,拓深科技,硬件,天使轮,数千万,人民币,杭州胜辉投资,
2017-08-16,德琪医药,医药,A轮,2100万,美元,泰格投资 / 启明创投 / 泰福资本 / 华盖资本,
2017-08-16,啦普哆,连锁及零售,天使轮,150万,美元,不公开的投资者,
2017-08-16,中堃传媒,文化传播,Pre-A轮,数千万,人民币,不公开的投资者,
2017-08-16,咸之鱼影视,影视制作及发行,A轮,数百万,人民币,洪晟观通,
2017-08-16,影谱科技,网络视频,C轮,5亿,人民币,中泰证券 / 东方星晖投资 / 国金投资 / 华泰瑞麟,
2017-08-15,广源瑞生物,其他生物技术/医疗健康,A轮,非公开,,华岭资本,
2017-08-15,康邦药业,生物工程,A轮,非公开,,华岭资本,
2017-08-15,安翰医疗,医疗设备,A轮,1亿,美元,厚新健投 / 同晟投资 / 盛虔投资 / 大中投资 / 优势资本,
2017-08-15,松哥油焖大虾,餐饮,A轮,数亿,人民币,天图资本 / 志拙资本,
2017-08-15,丛潇动漫,动漫,天使轮,非公开,,腾讯投资,
2017-08-15,中感微,IC设计,新三板定增轮,7500万,人民币,聚源资本 / 北京优惠金控基金管理有限公司 / 优势创投（天津） / 深圳信科投资,
2017-08-15,虹华环保,环保,新三板定增轮,4700万,人民币,众晶鑫投资 / 欧萌资产 / 重庆环保产业股权投资基金管理有限公司,
2017-08-15,顺丰控股,配送及仓储,上市定增轮,80亿,人民币,尚信资本 / 霍尔果斯航信投资 / 中原资产 / 泰达宏利基金,
2017-08-14,鹏凯环境,清洁技术,新三板定增轮,2200万,人民币,粤商创投,
2017-08-14,北森云计算,IT咨询,新三板定增轮,1.8亿,人民币,共青城元德投资 / 昶创投资,
2017-08-14,高发汽车,汽车制造,上市定增轮,8.8亿,人民币,易方达基金 / 建信基金 / 天津长城基金 / 远致富海 / 九泰基金,
2017-08-14,优岸美,纺织及服装,C轮,1亿,人民币,海澜之家,
2017-08-14,易民宿,房地产,Pre-A轮,2千万,人民币,海贝资本,
2017-08-12,蜜蜂,文化/体育和娱乐业,A轮,数千万,人民币,不公开的投资者,
2017-08-12,合享新创,IT服务,A轮,数千万,人民币,北京屹唐华睿投资管理有限公司,
2017-08-11,窝趣,房地产中介服务,Pre-A轮,5千万,人民币,58同城,
2017-08-10,竞技菠菜,网络游戏,天使轮,9百万,人民币,联众,
2017-08-10,积目,网络社区,Pre-A轮,数百万,人民币,越榕资本,
2017-08-10,桑多利亚,居民服务业,A轮,1250万,人民币,百姓网,
2017-08-10,华立科技,游艺器材及娱乐用品制造,新三板定增轮,3千万,人民币,中信证券,
2017-08-10,豪特节能,科技交流和推广服务业,新三板定增轮,4613万,人民币,嘉华汇金 / 文投国富股权投资 / 新余汇泽 / 鼎泰华盈 / 日信资本,
2017-08-10,鄂信钻石,新材料,新三板定增轮,1.1亿,人民币,昊润资本 / 浙江易坤创业投资股份有限公司 / 中云投资 / 泽泽投资 / 上海树山,
2017-08-10,珠江钢琴,其他,上市定增轮,10.9亿,人民币,广州城发基金 / 广州国寿城市发展,
2017-08-10,红郡源,科技交流和推广服务业,A轮,非公开,,华岭资本,
2017-08-09,智云达,专业技术服务业,新三板定增轮,5005万,人民币,北京瑞兴富泉投资管理有限公司 / 木华资本管理（昆山）合伙企业（有限合伙） / 建元天华,
2017-08-09,和天医院,医疗服务,B轮,数亿,人民币,约印创投,
2017-08-09,诺辉健康科技,生物工程,A轮,2千万,美元,君联资本 / 启明创投 / 普渡科技 / 软银中国资本,
2017-08-09,迅牛科技,其他IT服务,A轮,数千万,人民币,坚果资本,
2017-08-09,六点整北斗,IT服务,Pre-A轮,非公开,,天明集团 / 赛伯乐,
2017-08-08,布谷鸟科技,纺织及服装,A轮,数千万,人民币,不公开的投资者 / 力合创投,
2017-08-08,店驰,租赁和商务服务业,A轮,数千万,人民币,不公开的投资者,
2017-08-08,春夏新科,纺织及服装,新三板定增轮,1852万,人民币,深圳前海富安国际资产经营管理有限公司,
2017-08-08,沃德传动,其他电器机械及器材制造,新三板定增轮,6500万,人民币,上海大钧资产管理中心（有限合伙）,
2017-08-08,奕安济世,医药,B轮,4亿,人民币,淡马锡投资 / 泰康资产管理 / Arch Venture Partners / 杭州银行 / 中国银行,
2017-08-08,闪送,配送及仓储,D轮,非公开,,不公开的投资者 / 华山资本,
2017-08-08,神州云动,应用软件,B轮,数千万,人民币,齐心集团 / 恒华租赁,
2017-08-07,云途腾科技,IT服务,B轮,数亿,人民币,不公开的投资者,
2017-08-07,村集,电子商务,天使轮,数千万,人民币,天赋资本,
2017-08-07,博科思,电信设备及终端,新三板定增轮,6百万,人民币,杭州厚洋,
2017-08-07,浩云科技,计算机与网络安全服务,上市定增轮,3.5亿,人民币,三山资本 / 君重资产,
2017-08-07,安点科技,商务服务业,A轮,4500万,人民币,久立集团,
2017-08-05,场景实验室,传统媒体,A轮,数千万,人民币,IDG资本,
2017-08-04,乐聚机器人,硬件,A轮,5千万,人民币,腾讯投资,
2017-08-04,我爱出行,交通运输,天使轮,数千万,人民币,不公开的投资者,
2017-08-04,联医医疗科技,医疗服务,A轮,数千万,人民币,不公开的投资者 / 银河系创投 / 天使投资人,
2017-08-04,聚玻网,电子商务,Pre-A轮,数千万,人民币,天辰股权投资 / 顺融资本,
2017-08-03,M17 Entertainment,网络视频,A轮,4千万,美元,雅虎 / Majuven Fund Ⅰ Ltd. / 祥峰投资 / KTB / Golden Summit Capital,
2017-08-03,极贝科技,硬件,天使轮,3百万,人民币,浩方创投,
2017-08-03,图森科技,娱乐传媒,B轮,非公开,,英伟达,
2017-08-03,艾吉威,硬件,A轮,3千万,人民币,升鸿资本 / 东合创投,
2017-08-03,朴新教育,教育与培训,B轮,数千万,美元,海通国际,
2017-08-03,粤嵌科技,软件,新三板定增轮,1892万,人民币,同创伟业,
2017-08-03,Milky Tea,网络游戏,A轮,非公开,,腾讯投资,
2017-08-02,狼旗网络,网络游戏,新三板定增轮,406万,人民币,同泰资产,
2017-08-02,易云股份,软件,新三板定增轮,1266万,人民币,信中利资本 / 幸福投资,
2017-08-02,uu共享雨伞,无线互联网服务,天使轮,数千万,人民币,唯猎资本 / 天使投资人,
2017-08-02,零度智控,应用软件,C轮,非公开,,三星（中国）投资,
2017-08-02,画啦啦,专业培训,A轮,数千万,人民币,真格基金 / 好未来,
2017-08-02,23魔方,医疗服务,B轮,4千万,人民币,汉王科技 / 丰厚资本 / 德商奇点 / 雅惠精准医疗基金,
2017-08-02,瑞立视多媒体,IT服务,Pre-A轮,数亿,人民币,深圳市人才创新创业基金,
2017-08-02,点融网,P2P,D轮,2.2亿,美元,新加坡政府投资 / Simone投资管理公司 / 中民国际融资租赁,
2017-08-02,美餐网,餐饮,D轮,非公开,,高盛,
2017-08-02,中云智慧,计算机与网络安全服务,B轮,1.1亿,人民币,拓尔思 / 泰州盛鑫产业基金,
2017-08-01,享贷车,金融服务,天使轮,数千万,人民币,Jadevalue,
2017-08-01,志凌海纳,网络设备,B轮,数亿,人民币,经纬中国 / 联想创投集团,
2017-08-01,快准车服,其他汽车,Pre-A轮,3千万,人民币,天使投资人,
2017-08-01,全球生物医药产业,其他医药,天使轮,非公开,,技转创投,
2017-08-01,惠赢天下网络,其他网络服务,A轮,非公开,,海通开元,
2017-08-01,华懋新材料,纺织及服装,,非公开,,海通开元,
2017-08-01,北京蓝杞数据,基础软件,A轮,数百万,人民币,十方创投,
2017-08-01,搬运帮,其他无线互联网服务,种子轮,6百万,人民币,复励投资,
2017-08-01,唯迈医疗设备,医疗设备,B轮,数亿,人民币,约印创投 / 华盖资本,
2017-08-01,乐言科技,咨询,A轮,非公开,,常春藤资本,
2017-08-01,Zilliz,IT服务,天使轮,数千万,人民币,云启资本 / 靖亚资本 / 华岩资本,
2017-08-01,小打卡,其他无线互联网服务,天使轮,非公开,,真格基金,
2017-07-31,福百盛,批发业,新三板定增轮,3701万,人民币,广州因果投资管理有限公司,
2017-07-31,阳光医疗,批发业,新三板定增轮,1440万,人民币,万和证券,
2017-07-31,鑫贞德,农业,新三板定增轮,1697万,人民币,华夏惠众,
2017-07-31,天赐材料,日用化学,上市定增轮,6.2亿,人民币,深圳安鹏资本 / 国信资本 / 九泰基金,
2017-07-31,巨龙管业,建材,上市定增轮,10亿,人民币,不公开的投资者,
2017-07-31,维C理财,互联网金融,A轮,3600万,人民币,盈动资本 / 如山投资 / 51信用卡 / 网贷之家,
2017-07-31,百世师影视,动漫,Pre-A轮,数千万,人民币,霍尔果斯诚美创业投资有限公司,
2017-07-31,BitStar,金融,种子轮,2千万,人民币,不公开的投资者 / 无引力ICO基金,
2017-07-28,三国游,网络游戏,天使轮,1500万,人民币,华鑫地产,
2017-07-28,喝彩网络,应用软件,A轮,2千万,人民币,前海汇潮 / 东方汇富 / 乾然投资管理,
2017-07-28,百诚医药,研究与试验发展,新三板定增轮,3300万,人民币,福鹏资产 / 天堂硅谷,
2017-07-28,康莱米,其他机械制造,新三板定增轮,3000万,人民币,深圳长河资本管理有限公司,
2017-07-28,全安药业,医药,新三板定增轮,3825万,人民币,东证新域股权投资,
2017-07-28,闯客行,汽车,种子轮,5百万,人民币,元顺物流集团,
2017-07-27,大贲科技,网络服务,A轮,5千万,人民币,齐心集团,
2017-07-27,贺鸿电子,电子设备,新三板定增轮,5000万,人民币,金风投资,
2017-07-27,海马玩,应用软件,C轮,3.6亿,人民币,不公开的投资者 / 江苏光一贵仁股权投资基金管理有限公司,
2017-07-27,好收益,P2P,A轮,非公开,,天涯金服,
2017-07-27,桃奢生活,电子商务,天使轮,6百万,人民币,不公开的投资者,
2017-07-27,车通云,其他汽车,A轮,1.2亿,人民币,朗盛投资 / 丰厚资本 / 经纬中国 / 首泰金信 / 青松基金,
2017-07-27,怪兽充电,电源,A轮,数亿,人民币,蓝驰创投 / 清流资本 / 高瓴资本 / 顺为资本 / 雲九资本,
2017-07-27,真机智能,硬件,天使轮,非公开,,黑马投资,
2017-07-27,简术,网络服务,天使轮,1百万,人民币,不公开的投资者,
2017-07-27,九陌科技,纺织及服装,天使轮,数百万,人民币,坚果资本,
2017-07-26,贝拉国际教育,教育与培训,A轮,数千万,人民币,中文在线（天津）文化教育产业投资管理有限公司,
2017-07-26,鼎欣冠嵘,建筑/工程,A轮,数千万,人民币,上河六号股权投资基金,
2017-07-26,梧桐汽车,汽车,A轮,1千万,人民币,车界汇投资 / 第1车贷 / 中海同创,
2017-07-26,金色传媒,影视制作及发行,新三板定增轮,6000万,人民币,西藏九证资本 / 拉萨鸿新资管 / 鸿臻轩杰创投,
2017-07-25,华生基因,生物技术/医疗健康,新三板定增轮,7629万,人民币,穗证直投 / 金科君创 / 广证金穗 / 中韩盐城产业园发展基金 / 上海大恒资产管理有限公司,
2017-07-25,星库空间,房地产开发经营,Pre-A轮,数千万,人民币,不公开的投资者,
2017-07-25,初速度科技,IT服务,B轮,4600万,美元,创新工场 / 蔚来资本 / 顺为资本 / 戴姆勒 / 九合创投,
2017-07-25,武财神,广告代理商及网络营销服务机构,天使轮,2百万,人民币,不公开的投资者,
2017-07-25,HanSight瀚思,网络服务,B轮,1亿,人民币,国科嘉和 / 南京高科 / IDG资本,
2017-07-25,全天,零售,天使轮,220万,人民币,天使投资人,
2017-07-25,朗夫包装,包装,A轮,4千万,人民币,毅达资本 / 凯石资本 / 清控科创 / 贵安新区华擎,
2017-07-24,住范儿,其他房地产,A轮,数千万,人民币,引爆点资本 / 华创资本 / 嘉程资本,
2017-07-24,爱钱帮,P2P,B轮,5亿,人民币,天使投资人,
2017-07-24,耕香科技,日用化学,Pre-A轮,2千万,人民币,博派资本 / 青松基金,
2017-07-24,校校单车,交通运输,天使轮,数千万,人民币,新地地产投资,
2017-07-24,KK馆,网络服务,A轮,数亿,人民币,深创投 / 璀璨资本,
2017-07-23,老刀网络农管家,无线互联网服务,Pre-A轮,数千万,人民币,滨化投资,
2017-07-23,校聘网,网上招聘,Pre-A轮,6百万,人民币,51信用卡,
2017-07-21,链农,手机购物,B轮,数千万,人民币,不公开的投资者 / 三井物产环球投资,
2017-07-21,益立胶囊,化工原料生产,新三板定增轮,2千万,人民币,玖华资产,
2017-07-21,银之杰,应用软件,上市定增轮,3.6亿,人民币,亘星投资 / 同方金控,
2017-07-20,秒加加气APP,无线互联网服务,A轮,2千万,人民币,东方富海 / 银河系创投 / 海纳亚洲,
2017-07-20,有喵租包,无线互联网服务,天使轮,3百万,人民币,盈动资本,
2017-07-20,微核科技,软件,新三板定增轮,1357万,人民币,成都高投,
2017-07-20,日月明,软件,新三板定增轮,6千万,人民币,中车资本,
2017-07-20,寒武纪智能,硬件,A轮,非公开,,悦达集团,
2017-07-20,炬众钛合,科学研究/技术服务和地质勘查业,Pre-A轮,非公开,,洪泰基金,
2017-07-20,值哆少,科学研究/技术服务和地质勘查业,种子轮,数百万,人民币,不公开的投资者,
2017-07-20,丫丫信息,其他无线互联网服务,B轮,数亿,人民币,学而思教育,
2017-07-20,越秀租赁,金融服务,,10亿,人民币,越秀金融,
2017-07-19,捷信中国,金融服务,A轮,20亿,人民币,太盟投资集团,
2017-07-19,桔子分期,金融服务,A轮,4千万,人民币,盈富通投资管理（北京）有限公司,
2017-07-19,潮宏基集团,其他,上市定增轮,6亿,人民币,中意资产 / 平安资产,
2017-07-19,瀚信科技,软件,新三板定增轮,7810万,人民币,深创投 / 广东红土创投 / 汉理前景投资 / 罗湖红土创投,
2017-07-19,中天超硬,其他机械制造,新三板定增轮,9000万,人民币,启赋新材创投 / 华睿信资产管理,
2017-07-18,瑞风协同,其他IT服务,新三板定增轮,8998万,人民币,北京风林投资有限公司 / 北京邦诺 / 达晨财智,
2017-07-18,正安维视,软件,新三板定增轮,4000万,人民币,盛世投资 / 一泓投资,
2017-07-18,奥图股份,通用仪器仪表制造业,新三板定增轮,5000万,人民币,朗程资本 / 济南同晟股权投资管理合伙企业（有限合伙）,
2017-07-18,重交再生,非金属矿物制品业,新三板定增轮,2153万,人民币,重庆环保产业股权投资基金管理有限公司,
2017-07-18,精位科技,硬件,天使轮,数千万,人民币,大一基金,
2017-07-18,数矩科技,计算机与网络安全服务,天使轮,数百万,人民币,联想之星,
2017-07-18,巴歌出行,汽车租赁,A轮,2500万,人民币,联想之星 / 知行创新,
2017-07-18,学霸来了,学历教育,A轮,非公开,,国金投资,
2017-07-17,信隆行,金融服务,新三板定增轮,1339万,人民币,开源证券 / 天风证券,
2017-07-17,印克电商,电子商务,新三板定增轮,2909万,人民币,智连资本,
2017-07-17,花点时间,电子商务,B轮,数亿,人民币,经纬中国,
2017-07-17,小鸣单车,交通运输,B轮,数亿,人民币,不公开的投资者 / 联创永宣,
2017-07-17,稻香居,IT服务,天使轮,1百万,人民币,不公开的投资者,
2017-07-17,高桔网,网络服务,天使轮,5百万,人民币,海信创客,
2017-07-17,极立科技,软件,天使轮,非公开,,贵格天使,
2017-07-16,壹米滴答,网上招聘,B轮,3亿,人民币,鼎晖投资 / 源码资本 / 险峰长青 / 环球创新投资 / 拓锋投资,
2017-07-15,安耐吉分离,科技交流和推广服务业,A轮,非公开,,昆仑投资,
2017-07-14,大富装饰,其他建筑/工程,新三板定增轮,1.4亿,人民币,保元资产 / 禾益资产 / 城发资本,
2017-07-14,新立科技,汽车制造,新三板定增轮,9900万,人民币,台州创新投 / 台州创新投资,
2017-07-14,货圈全,电子商务,Pre-A轮,1千万,美元,不公开的投资者,
2017-07-14,轻+,其他生物技术/医疗健康,C轮,6千万,人民币,源远流长投资 / 普华资本 / 经纬中国 / 天使投资人 / 华耀投资,
2017-07-13,云脑科技,无线互联网服务,A轮,数千万,人民币,翊翎资本 / 中经合,
2017-07-13,窝趣云打印,IT服务,A轮,非公开,,南京理工大学科技园,
2017-07-13,极智嘉科技,硬件,B轮,6千万,美元,华平投资 / 火山石资本,
2017-07-13,奥咨达,研究与试验发展,新三板定增轮,6990万,人民币,磐霖资本 / 乾和投资 / 元禾控股,
2017-07-13,张家界,旅游,上市定增轮,8.7亿,人民币,张家界经投集团 / 中意资产 / 国机资本 / 金东资本 / 中原股权,
2017-07-13,Zanroo,商务服务业,A轮,740万,美元,不公开的投资者 / Shift Ventures,
2017-07-13,YouWorld / 由我,旅游,天使轮,180万,美元,英诺天使基金,
2017-07-13,Genoox,医疗服务,A轮,6百万,美元,不公开的投资者,
2017-07-13,Fabogo,无线搜索,A轮,225万,美元,不公开的投资者,
2017-07-12,HyTrust,IT服务,E轮,3600万,美元,英特尔投资 / Vanedge Capital / Vmware / Fortinet / 思科,
2017-07-12,娃娃鱼动画,动漫,A轮,5千万,人民币,阅文集团,
2017-07-12,Transfix,其他网络服务,C轮,4200万,美元,恩颐投资,
2017-07-12,Buoyant,IT服务,A轮,1050万,美元,韦伯投资 / Data Collective / SV Angel / 标杆资本 / 斐然资本,
2017-07-12,课窝教育,专业培训,A轮,数千万,人民币,不公开的投资者 / 上海澜亭投资,
2017-07-12,星源农牧,畜牧业,新三板定增轮,1.2亿,人民币,广发纳斯特投资 / 金寅投资,
2017-07-12,凯美瑞德,软件,新三板定增轮,5600万,人民币,中亿明源,
2017-07-12,万佳安,其他电信业务及技术,新三板定增轮,2亿,人民币,红塔创投 / 三峡金石投资 / 东方证券 / 永裕恒丰金融,
2017-07-12,礼物说,软件,B轮,数千万,人民币,广渠资本,
2017-07-12,华瑞新智,硬件,天使轮,数千万,人民币,信中利资本,
2017-07-11,瑞达法考,专业培训,A轮,1.9亿,人民币,正保远程教育,
2017-07-11,华蒙星体育,教育与培训,种子轮,1百万,人民币,视源股份,
2017-07-11,华腾教育,软件,新三板定增轮,3441万,人民币,中广投资,
2017-07-11,CompareAsiaGroup,金融服务,B轮,5千万,美元,国际金融公司 / H&Q Utrust / 思佰益 / 阿里资本,
2017-07-11,WeWork,租赁业,F轮,7.6亿,美元,不公开的投资者,
2017-07-11,Provenance,电子商务,种子轮,80万,美元,不公开的投资者,
2017-07-11,CellTrak,医疗服务,,1100万,美元,MK Capital,
2017-07-10,喜铺婚礼,居民服务业,新三板定增轮,5200万,人民币,百合时代投资,
2017-07-10,苏州沪云,化学药品制剂制造业,新三板定增轮,3200万,人民币,熔拓达园,
2017-07-10,秦学教育,其他教育与培训,A轮,数千万,人民币,前海兴旺,
2017-07-10,微度联合创业社,金融,天使轮,非公开,,优客工场,
2017-07-10,传感器网,其他IT服务,天使轮,数千万,人民币,不公开的投资者,
2017-07-09,Assignar,IT服务,A轮,3百万,美元,不公开的投资者,
2017-07-08,DeepCare,医疗服务,B轮,数亿,人民币,中关村发展集团,
2017-07-08,音熊联萌,娱乐传媒,天使轮,数千万,人民币,阅文集团,
2017-07-07,方圆现代,物业管理,新三板定增轮,1128万,人民币,中山证券 / 乐鑫股权 / 广发证券 / 光大证券,
2017-07-07,科创蓝,科技交流和推广服务业,新三板定增轮,7250万,人民币,深圳中鑫国瑞资本管理有限公司,
2017-07-07,中邮基金,其他金融服务,新三板定增轮,6150万,人民币,国金证券 / 天风证券,
2017-07-07,晓羊教育,网络服务,A轮,数千万,人民币,阿米巴资本 / 云启资本,
2017-07-07,蜂狂健身,文化/体育和娱乐业,天使轮,7百万,人民币,创享投资,
2017-07-07,医链科技,IT,天使轮,数千万,人民币,天使投资人 / 坤元资产,
2017-07-07,豪霆赛车文化,其他娱乐与休闲,A轮,非公开,,前海瑞华鹏城投资,
2017-07-07,Tonsser,网络社区,A轮,非公开,,Seed Capital / Wellington Partners,
2017-07-07,OnboardIQ,网上招聘,A轮,910万,美元,SoftTech VC / Origin Ventures,
2017-07-06,Jumbotail,电子商务,A轮,850万,美元,Kalaari Capital,
2017-07-06,Droom,电子商务,C轮,2千万,美元,Digital Garage,
2017-07-06,Moglix,电子商务,B轮,1200万,美元,国际金融公司 / Accel / Jungle Ventures,
2017-07-06,ofo,其他无线互联网服务,E轮,7亿,美元,中信产业基金 / 弘毅投资 / 滴滴出行 / 数字天空技术 / 阿里资本,
2017-07-06,青团社,网上招聘,A轮,数千万,人民币,不公开的投资者,
2017-07-06,铝邦网,B2B,天使轮,1200万,人民币,不公开的投资者,
2017-07-06,奇士达,游艺器材及娱乐用品制造,新三板定增轮,1.6亿,人民币,德润资本 / 中联恒力 / 天风证券 / 东北证券,
2017-07-05,大象股份,商务服务业,新三板定增轮,4.9亿,人民币,华融渝富资本 / 天鹰资本 / 优选资本 / 华融天泽,
2017-07-05,天劲股份,电源,新三板定增轮,2.3亿,人民币,前海大宇 / 兴璟投资,
2017-07-05,方德股份,机械制造,新三板定增轮,1360万,人民币,敦敏资产 / 国元创投,
2017-07-05,德和科技,非金属矿物制品业,新三板定增轮,5016万,人民币,杭州崇福投资管理有限公司,
2017-07-05,众合科技,IC设备制造,上市定增轮,4.8亿,人民币,浙江永禧投资管理有限公司 / 杭州紫潭投资管理有限公司 / 杭州礼瀚,
2017-07-05,商法通,咨询,天使轮,5百万,人民币,不公开的投资者,
2017-07-05,玖的VR,硬件,A轮,数千万,人民币,久邦信息,
2017-07-05,明师教育,教育与培训,C轮,1.2亿,人民币,摩根士丹利,
2017-07-05,铁马影业,影视制作及发行,天使轮,数百万,人民币,天使投资人,
2017-07-05,聚胜财富,互联网金融,A轮,数亿,人民币,风洲实业,
2017-07-05,Karma,餐饮,A轮,340万,欧元,e.ventures,
2017-07-05,Theranica,医疗设备,A轮,6百万,美元,美国光速 / LionBird,
2017-07-04,长江广电文创,金融,A轮,3千万,人民币,中南文化,
2017-07-04,Validus Capital,互联网小贷,A轮,290万,美元,不公开的投资者,
2017-07-04,Fastbrick Robotics,硬件,A轮,2百万,美元,不公开的投资者,
2017-07-04,Qonto,金融,A轮,1140万,美元,Alven Capital / Valar Ventures,
2017-07-04,树同机器人,其他IT服务,A轮,3百万,人民币,元禾控股,
2017-07-04,磨铁图书,网络游戏,C轮,3亿,人民币,中银粤财股权投资 / 杭州道影投资管理有限公司 / 千毅资本 / 五牛基金 / 中信聚信,
2017-07-04,利扬芯片,IC测试与封装,新三板定增轮,1.2亿,人民币,深圳恒益天泽资本管理有限公司 / 聚源资本 / 中兴创投 / 达晨财智 / 融易和胜,
2017-07-04,永顺生物,动物用药品制造业,新三板定增轮,1.3亿,人民币,弘湾资本 / 天风汇盈 / 上海滦海璞舆投资管理有限公司 / 深圳中奕基金管理有限公司 / 深圳旌阁投资管理有限公司,
2017-07-04,新安洁,环保,新三板定增轮,1.1亿,人民币,布斯投资 / 瀚华资本 / 重庆环保投资 / 邦易投资,
2017-07-03,聚通达,电信设备及终端,新三板定增轮,994万,人民币,中国风投,
2017-07-03,朗绿科技,其他建筑/工程,新三板定增轮,1050万,人民币,淳明投资,
2017-07-03,中金岭南,冶炼/加工,上市定增轮,15.2亿,人民币,博时基金 / 中诚信托,
2017-07-03,缤果盒子,零售,A轮,1亿,人民币,Ventech China / 启明创投 / 源码资本 / 纪源资本,
2017-07-03,趣酷互动传媒,广告代理商及网络营销服务机构,Pre-A轮,1千万,人民币,圣山资产,
2017-07-03,嘉检医学,生物技术/医疗健康,A轮,数千万,人民币,医谷产业 / 幂方资本 / 千杉投资 / 奎木投资 / 中大创投,
2017-07-03,拼便宜,零售,天使轮,数千万,人民币,杭州胜辉投资,
2017-07-03,优剪,其他,A轮,数千万,人民币,经纬中国,
2017-07-03,嘉华京顺,汽车销售渠道,,非公开,,星瀚资本,
2017-07-03,Movile,电子商务,F轮,5300万,美元,Naspers,
2017-07-03,Mitoconix Bio,生物工程,A轮,2千万,美元,奥博资本,
2017-07-03,kakao,咨询,,4.4亿,美元,德太集团,
2017-07-03,红手指,其他网络服务,B轮,数千万,人民币,百度投资部,
2017-07-01,普普文化,商务服务业,新三板定增轮,667万,人民币,青瓦资本,
2017-07-01,智库2861,IT服务,天使轮,数百万,人民币,技转创投 / 启迪之星,
2017-07-01,皮皮鲁,科技交流和推广服务业,C轮,非公开,,海通开元,
2017-07-01,,应用软件,天使轮,非公开,,老鹰基金,
2017-07-01,Shanghai Quzhi Network Technology Co., Ltd.,电信设备及终端,,非公开,,老鹰基金,
2017-07-01,朱雀网络,硬件,B轮,非公开,,常春藤资本,
2017-07-01,习游文化,网络教育,Pre-A轮,1千万,人民币,常春藤资本,
2017-07-01,鳍源科技,硬件,A轮,数千万,人民币,天奇阿米巴创投,
2017-07-01,亿欧网盟,网络服务,B轮,非公开,,沂景投资,
2017-07-01,别墅工场,其他房地产,天使轮,3百万,人民币,天使投资人,
2017-07-01,寄存宝,硬件,种子轮,非公开,,不公开的投资者,
2017-07-01,启蒙听听,其他电子产品,Pre-A轮,数千万,人民币,深创投 / 百俪资本 / 华诺创投,
2017-07-01,目睹直播,网络视频,B轮,数亿,人民币,不公开的投资者 / 普耀九州产业基金 / 松禾资本,
2017-07-01,清牛VR,研究与试验发展,种子轮,非公开,,清华创+种子基金,
2017-06-30,星哲嘉瑞,文化/体育和娱乐业,天使轮,1500万,人民币,不公开的投资者,
2017-06-30,友宝Ubox,硬件,G轮,5.3亿,人民币,凯雷（北京）投资管理有限公司 / 海尔投资,
2017-06-30,小虫科技,网络服务,A轮,4千万,人民币,柒酷投资 / 天鸽互动 / 苏河汇 / 博汇源创投 / 探针创业投资,
2017-06-30,紫晶信息,IT,新三板定增轮,1.6亿,人民币,深圳前海牦牛股权投资管理有限公司 / 上海盛万 / 万丰锦源 / 基石基金 / 天津普思资产管理有限公司,
2017-06-30,睿路传播,广告创意/代理,新三板定增轮,1007万,人民币,复聚投资,
2017-06-30,核桃Live,娱乐与休闲,天使轮,3千万,人民币,天使投资人,
2017-06-30,上海劳勤,IT服务,天使轮,450万,人民币,真顺基金 / 黑马投资 / 华创资本,
2017-06-30,Lazada Group,电子商务,,10亿,美元,阿里资本,
2017-06-30,Kaleidoscope,IT服务,种子轮,3百万,美元,不公开的投资者,
2017-06-30,Dream Reality Interactive,网络游戏,天使轮,数百万,美元,不公开的投资者,
2017-06-30,巴图鲁,电子商务,C轮,6亿,人民币,华平 / 钟鼎创投,
2017-06-30,果小美,零售,天使轮,非公开,,峰瑞资本 / 天使投资人 / IDG资本,
2017-06-30,MAGMODE名堂,电子商务,B轮,1500万,美元,创新工场 / 凯辉基金,
2017-06-30,Beijing Aii Wisdom Technology Co., Ltd.,科学研究/技术服务和地质勘查业,Pre-A轮,非公开,,明势资本,
2017-06-29,加糖,其他软件,Pre-A轮,1千万,人民币,京基资本,
2017-06-29,SparkCognition,IT服务,B轮,3250万,美元,Verizon Ventures,
2017-06-29,Hug Innovations Corp,硬件,A轮,5百万,美元,不公开的投资者,
2017-06-29,费用魔方,财务/审计/法律顾问,A轮,1500万,人民币,真格基金 / 红杉中国,
2017-06-29,Glooko,医疗服务,C轮,3500万,美元,Canaan Partners / Georgian Partners / 三星创投 / s23p,
2017-06-29,捧乐科技,无线音乐,A轮,数千万,美元,蓝驰创投 / 红杉中国,
2017-06-29,亚洲生态,环保,新三板定增轮,1.3亿,人民币,汇信资产,
2017-06-29,路斯股份,农业加工,新三板定增轮,1102万,人民币,潍坊浚源投资管理中心（有限合伙）,
2017-06-29,君实生物,生物制药,新三板定增轮,3.2亿,人民币,正心谷创新资本,
2017-06-29,爱宠医生,医疗服务,A轮,数千万,人民币,中金资本 / 探针创业投资,
2017-06-29,优尼客美居,居民服务和其他服务业,种子轮,数百万,人民币,星海融创,
